Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,32,1989,17.5,2,0,0,30,18,0,8,42,33,0,0,0,Matches
Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,27,1994,33.3,4,0,0,57,64,1,46,68,34,0,1,0,Matches
Takuma Asano\13ddc856,jp JPN,FWMF,Bochum,26,1994,17.9,1,0,0,16,30,18,25,17,11,0,0,0,Matches
Santiago Ascacíbar\e26fcca3,ar ARG,MF,Hertha BSC,24,1997,26.4,5,0,0,45,40,3,3,54,61,0,0,0,Matches
Fisnik Asllani\35f67a30,xk KVX,MFFW,Hoffenheim,18,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Simon Asta\dfc85b89,de GER,DF,Greuther Fürth,20,2001,8.7,1,0,0,13,9,2,16,26,8,0,0,1,Matches
Taiwo Awoniyi\e5478b87,ng NGA,FW,Union Berlin,23,1997,24.2,1,0,0,29,26,21,9,6,9,1,0,1,Matches
Sardar Azmoun\10549b49,ir IRN,FWMF,Leverkusen,26,1995,4,0,0,0,8,5,0,0,2,1,0,0,0,Matches
Mitchel Bakker\a8567629,nl NED,DF,Leverkusen,21,2000,20.2,6,0,0,16,23,0,38,52,25,0,1,0,Matches
Ridle Baku\442b56fa,de GER,DFFW,Wolfsburg,23,1998,27.2,4,0,0,34,38,10,68,40,34,0,0,0,Matches
Aymen Barkok\a2a85828,ma MAR,MFFW,Eint Frankfurt,23,1998,1.8,0,0,0,5,1,0,0,3,3,0,0,0,Matches
Leandro Barreiro Martins\00242b75,lu LUX,MF,Mainz 05,21,2000,19.9,3,0,0,44,34,0,7,38,35,2,0,0,Matches
Jacob Barrett Laursen\c0d3bd23,dk DEN,DF,Arminia,26,1994,18.1,1,0,0,13,9,1,27,28,16,0,0,1,Matches
Abdourahmane Barry\8df328f4,fr FRA,DF,Greuther Fürth,21,2000,2.3,2,0,0,8,4,0,6,6,3,0,0,0,Matches
Maximilian Bauer\44a20f0c,de GER,DF,Greuther Fürth,21,2000,18.8,5,0,0,30,12,1,0,46,25,0,1,1,Matches
Oliver Baumann\47064058,de GER,GK,Hoffenheim,31,1990,33,1,0,0,0,4,0,0,0,0,0,0,0,Matches
Timo Baumgartl\bd7d2e6d,de GER,DF,Union Berlin,25,1996,24.1,5,0,0,30,14,0,12,44,37,0,0,2,Matches
Julian Baumgartlinger\69374ff5,at AUT,MF,Leverkusen,33,1988,1,1,0,0,2,0,0,1,2,3,0,0,0,Matches
Christoph Baumgartner\437f2b00,at AUT,MFFW,Hoffenheim,21,1999,21,5,0,0,35,31,1,28,21,26,0,0,0,Matches
Noah Joel Sarenren Bazee\fbbc8e15,ng NGA,MFFW,Augsburg,24,1996,2.7,1,0,0,7,3,0,10,6,4,0,0,0,Matches
Ihlas Bebou\a53b661f,tg TOG,FWDF,Hoffenheim,27,1994,23.2,0,0,0,33,23,11,47,11,18,0,0,0,Matches
Sheraldo Becker\8eb55dbb,sr SUR,FWMF,Union Berlin,26,1995,19.5,4,0,0,28,31,9,102,10,9,0,0,0,Matches
Kevin Behrens\30ae134d,de GER,FW,Union Berlin,30,1991,5.5,1,0,0,14,5,1,3,6,3,1,0,0,Matches
