Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Péter Gulácsi\bcb2ccd8,hu HUN,GK,RB Leipzig,31,1990,33,33,2967,33,34,1.03,107,77,71,17,7,9,10,30.3,3,3,0,0,0,Matches
Marwin Hitz\2e7ff968,ch SUI,GK,Dortmund,33,1987,5,4,405,4.5,12,2.67,23,13,56.5,1,0,3,0,0,2,2,0,0,0,Matches
Timo Horn\3cd9e95a,de GER,GK,Köln,28,1993,13,13,1170,13,21,1.62,55,35,61.8,4,6,3,1,7.7,0,0,0,0,,Matches
Lukáš Hrádecký\ad3389d5,fi FIN,GK,Leverkusen,31,1989,32,32,2880,32,44,1.37,153,110,72.5,17,7,8,8,25,4,2,1,1,33.3,Matches
Stefanos Kapino\62ba5881,gr GRE,GK,Arminia,27,1994,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,,Matches
Gregor Kobel\cd59b9df,ch SUI,GK,Dortmund,23,1997,29,29,2565,28.5,39,1.37,105,71,65.7,20,3,6,7,24.1,3,3,0,0,0,Matches
Andreas Linde\4d6a842d,se SWE,GK,Greuther Fürth,28,1993,12,12,1080,12,24,2,61,37,62.3,1,5,6,3,25,1,1,0,0,0,Matches
Marcel Lotka\5584552e,pl POL,GK,Hertha BSC,20,2001,10,9,885,9.8,20,2.03,44,27,61.4,2,1,6,2,22.2,3,3,0,0,0,Matches
Andrey Lunyov\8a6ab963,ru RUS,GK,Leverkusen,29,1991,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,0,,Matches
Andreas Luthe\7fe12375,de GER,GK,Union Berlin,34,1987,27,27,2430,27,39,1.44,105,70,64.8,11,7,9,6,22.2,2,2,0,0,0,Matches
Josep Martinez\11d8aff0,es ESP,GK,RB Leipzig,23,1998,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,0,,Matches
Florian Müller\cbac6ec9,de GER,GK,Stuttgart,23,1997,30,30,2700,30,52,1.73,132,83,63.6,7,10,13,4,13.3,4,4,0,0,0,Matches
Manuel Neuer\8778c910,de GER,GK,Bayern Munich,35,1986,28,28,2510,27.9,26,0.93,89,64,71.9,22,4,2,10,35.7,1,1,0,0,0,Matches
Stefan Ortega\c1242d4e,de GER,GK,Arminia,28,1992,33,33,2970,33,53,1.61,172,124,73.3,4,13,16,6,18.2,7,7,0,0,0,Matches
Philipp Pentke\c41f7379,de GER,GK,Hoffenheim,36,1985,1,1,90,1,3,3,7,4,57.1,1,0,0,0,0,0,0,0,0,,Matches
Pavao Pervan\c89e8aae,at AUT,GK,Wolfsburg,33,1987,6,6,540,6,14,2.33,36,23,63.9,1,0,5,1,16.7,1,1,0,0,0,Matches
Diant Ramaj\b90c4a43,de GER,GK,Eint Frankfurt,19,2001,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,0,,Matches
Manuel Riemann\9f941969,de GER,GK,Bochum,32,1988,31,31,2790,31,45,1.45,149,110,71.8,10,6,15,7,22.6,6,3,2,1,40,Matches
Frederik Rønnow\a70b8345,dk DEN,GK,Union Berlin,28,1992,7,7,630,7,5,0.71,18,14,72.2,5,2,0,2,28.6,0,0,0,0,,Matches
Marvin Schwäbe\87436846,de GER,GK,Köln,26,1995,21,21,1890,21,28,1.33,96,68,70.8,10,4,7,3,14.3,1,0,1,0,100,Matches
Alexander Schwolow\0d55d942,de GER,GK,Hertha BSC,29,1992,25,25,2175,24.2,51,2.11,120,73,61.7,7,5,13,4,16,5,5,0,0,0,Matches
Tobias Sippel\0d8a37c2,de GER,GK,M'Gladbach,33,1988,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,0,0,0,0,,Matches
Yann Sommer\420c18a1,ch SUI,GK,M'Gladbach,32,1988,33,33,2970,33,60,1.82,175,116,67.4,12,8,13,5,15.2,5,3,2,0,40,Matches
Kevin Trapp\ce17b5eb,de GER,GK,Eint Frankfurt,31,1990,32,32,2880,32,46,1.44,155,112,72.9,10,11,11,5,15.6,4,4,0,0,0,Matches
Philipp Tschauner\73e2f6eb,de GER,GK,RB Leipzig,35,1985,1,0,3,0,0,0,0,0,,0,0,0,1,,0,0,0,0,,Matches
