Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,Matches
Marten Winkler\e0d515ef,de GER,MF,Hertha BSC,18,2002,0.3,0,0,0,,0,0,,,,0,0,0,Matches
Frederik Winther\a1257b5e,dk DEN,DF,Augsburg,20,2001,3.6,0,0,0,,0,0,,,,0,0,0,Matches
Florian Wirtz\e7fcf289,de GER,MFFW,Leverkusen,18,2003,20.6,7,36,13,36.1,1.75,0.63,0.19,0.54,16.6,1,0,0,Matches
Axel Witsel\5dfc6ad5,be BEL,MFDF,Dortmund,32,1989,21.6,2,8,2,25,0.37,0.09,0.25,1,20.8,0,0,0,Matches
Hannes Wolf\be42a291,at AUT,FWMF,M'Gladbach,22,1999,3.4,0,6,2,33.3,1.76,0.59,0,0,18.7,1,0,0,Matches
Marius Wolf\fa661778,de GER,DFFW,Dortmund,26,1995,14.7,3,21,10,47.6,1.43,0.68,0.14,0.3,15.6,0,0,0,Matches
Luca Wollschläger\24b8e7bd,de GER,FW,Hertha BSC,18,2003,0.2,0,1,0,0,5.63,0,0,,19.7,0,0,0,Matches
Jeong Woo-yeong\6190474d,kr KOR,FWMF,Freiburg,21,1999,19.8,5,51,19,37.3,2.58,0.96,0.1,0.26,16.1,0,0,0,Matches
Joscha Wosz\80c9e555,de GER,DF,RB Leipzig,19,2002,0.1,0,0,0,,0,0,,,,0,0,0,Matches
Dan-Axel Zagadou\a4effc55,fr FRA,DF,Dortmund,22,1999,10.6,0,3,1,33.3,0.28,0.09,0,0,7.2,0,0,0,Matches
Denis Zakaria\384d58d9,ch SUI,MFDF,M'Gladbach,24,1996,15.5,2,18,4,22.2,1.16,0.26,0.11,0.5,23.2,0,0,0,Matches
Deyovaisio Zeefuik\58a2e9f6,nl NED,DFMF,Hertha BSC,23,1998,6.3,0,0,0,,0,0,,,,0,0,0,Matches
Robin Zentner\5c4bf6ba,de GER,GK,Mainz 05,26,1994,32,0,0,0,,0,0,,,,0,0,0,Matches
Andi Zeqiri\d01231f0,ch SUI,FWMF,Augsburg,22,1999,11.3,2,32,9,28.1,2.83,0.8,0.06,0.22,16.3,0,0,0,Matches
Simon Zoller\29f7cfd9,de GER,FW,Bochum,30,1991,6.6,3,11,7,63.6,1.66,1.06,0.27,0.43,11.1,0,0,0,Matches
