Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Ryan Laursen\ce69cd83,dk DEN,DFMF,Odense,29,1992,0.5,0,0,0,1,0,0,1,0,1,,,0,Matches
Clint Leemans\66e43504,nl NED,MF,Viborg,25,1995,12.5,2,0,0,13,6,1,11,9,6,,,0,Matches
Lukas Lerager\1b82f8df,dk DEN,MF,FC Copenhagen,28,1993,23.2,7,0,0,29,21,1,17,46,28,,,0,Matches
Mart Lieder\1b21f77c,nl NED,FW,Odense,31,1990,3.6,0,0,0,5,3,2,2,1,1,,,0,Matches
Alexander Lind Rasmussen\4e014c3f,dk DEN,FW,Silkeborg,19,2002,2.6,0,0,0,1,1,0,0,2,0,,,0,Matches
Victor Lind\d2a83712,dk DEN,FW,Midtjylland,18,2003,5.7,1,0,0,12,2,2,1,7,4,,,0,Matches
Gift Links\fbfa9358,za RSA,FWMF,AGF,22,1998,10.4,2,0,0,16,23,8,51,5,11,,,0,Matches
Justin Lonwijk\9cf14be5,nl NED,MF,Viborg,21,1999,23.7,6,0,0,22,27,1,28,29,30,,,0,Matches
Jonas Lössl\939bc634,dk DEN,GK,Midtjylland,32,1989,8,0,0,0,0,0,0,0,0,0,,,0,Matches
Vágner Love\6d4d9e18,br BRA,FW,Midtjylland,37,1984,1.2,0,0,0,1,0,0,0,1,0,,,0,Matches
Lucas Lund Pedersen\20087b70,dk DEN,GK,Viborg,21,2000,26,2,0,0,2,4,0,0,1,1,,,0,Matches
Oliver Lund\e2cd47e0,dk DEN,DFMF,AGF,30,1990,17.7,6,0,0,33,29,0,40,25,28,,,0,Matches
Lucas Lykkegaard\cc5343a8,dk DEN,DF,Nordsjælland,19,2002,0.3,0,0,0,0,0,0,1,0,1,,,0,Matches
Awer Mabil\922da988,au AUS,FW,Midtjylland,25,1995,3.3,1,0,0,1,1,1,8,1,0,,,0,Matches
Nicolas Madsen\6d7e4b06,dk DEN,MF,Midtjylland,21,2000,1.8,0,0,0,1,5,0,2,6,1,,,0,Matches
Milan Makari?\e88b0189,rs SRB,FW,Aalborg,25,1995,20.4,2,0,0,14,22,17,15,1,5,,,0,Matches
Foday Manneh\790c793b,gm GAM,FW,Vejle BK,21,2000,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Gustav Marcussen\2959525b,dk DEN,MF,Silkeborg,23,1998,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
Marrony\1dff86ec,br BRA,FW,Midtjylland,22,1999,2.3,1,0,0,2,1,0,0,3,4,,,0,Matches
Jens Martin Gammelby\b648463f,dk DEN,MF,Brøndby,26,1995,3.2,0,0,0,2,0,1,12,0,0,,,0,Matches
Erik Marxen\8db2c33b,dk DEN,DF,Randers,30,1990,9.8,1,0,0,5,5,0,28,9,5,,,0,Matches
Erik Marxen\8db2c33b,dk DEN,DF,Nordsjælland,30,1990,6.8,0,0,0,1,0,0,0,12,2,,,0,Matches
Pelle Mattsson\8769d39d,dk DEN,MF,Silkeborg,19,2001,2.2,0,0,0,6,0,0,0,5,6,,,0,Matches
Andreas Maxsø\52fdf512,dk DEN,DF,Brøndby,27,1994,26.1,3,1,0,15,19,1,1,37,12,,,0,Matches
Oscar Meedom\a6579234,dk DEN,FW,Aalborg,15,2005,0,0,0,0,0,0,0,0,0,0,,,0,Matches
Jeff Mensah\bbeb2695,dk DEN,FW,Viborg,28,1992,2.1,1,0,0,3,2,0,5,0,2,,,0,Matches
Kevin Mensah\7d06360d,dk DEN,MFDF,Brøndby,30,1991,19.4,2,0,0,15,10,1,59,14,24,,,0,Matches
Max Meyer\eba42d2b,de GER,MF,Midtjylland,25,1995,2.8,0,0,0,0,5,0,1,8,3,,,0,Matches
Thomas Mikkelsen\d0d98611,dk DEN,GK,Brøndby,37,1983,3,0,0,0,0,0,0,0,0,0,,,0,Matches
Patrick Mortensen\f95cb908,dk DEN,FW,AGF,32,1989,22.8,5,0,0,32,25,6,1,3,2,,,0,Matches
Faris Moumbagna\58aae0a9,cm CMR,FW,SønderjyskE,21,2000,3.7,2,0,0,6,9,6,3,0,1,,,0,Matches
Victor Mpindi\a719c1ea,cm CMR,MF,SønderjyskE,24,1997,14.6,4,0,0,13,21,1,6,22,19,,,0,Matches
Arbnor Mucolli\4a010ff6,al ALB,MFFW,Vejle BK,21,1999,23,8,1,1,32,60,7,67,4,27,,,0,Matches
