Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Nicolai Boilesen\08fe932d,dk DEN,DF,FC Copenhagen,29,1992,26,24,2167,24.1,0,0,0,0,1,5,1,0,0,0,0,0,Matches
Jakob Bonde\0effaa3b,dk DEN,MF,Viborg,27,1993,31,29,2502,27.8,6,1,3,3,4,6,0,0.22,0.04,0.25,0.11,0.14,Matches
Frederik Brandhof\c2af37df,dk DEN,MF,AGF,25,1996,27,18,1722,19.1,1,2,1,0,0,6,0,0.05,0.1,0.16,0.05,0.16,Matches
Mathias Brems\3c7abd19,dk DEN,DF,Odense,19,2002,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jakob Breum\31c61ac7,dk DEN,MFFW,Odense,17,2003,21,10,841,9.3,4,1,4,0,0,0,0,0.43,0.11,0.54,0.43,0.54,Matches
Mark Brink\ae149bdb,dk DEN,MF,Silkeborg,23,1998,32,32,2670,29.7,1,1,1,0,0,0,0,0.03,0.03,0.07,0.03,0.07,Matches
Nicolai Brock-Madsen\0443d045,dk DEN,FW,Randers,28,1993,19,6,567,6.3,1,0,1,0,0,2,0,0.16,0,0.16,0.16,0.16,Matches
Júnior Brumado\bccc1bb4,br BRA,FWMF,Midtjylland,22,1999,23,18,1393,15.5,8,1,7,1,1,6,1,0.52,0.06,0.58,0.45,0.52,Matches
Alexander Brunst\99219195,de GER,GK,Vejle BK,26,1995,21,21,1890,21,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andreas Bruus\b088d5d3,dk DEN,MFDF,Brøndby,22,1999,29,26,2246,25,3,1,3,0,0,5,0,0.12,0.04,0.16,0.12,0.16,Matches
Filip Bundgaard\ab42610c,dk DEN,MF,Randers,17,2004,15,0,265,2.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Oliver Bundgaard\46a51ca7,dk DEN,DF,Randers,20,2001,28,21,1821,20.2,0,1,0,0,0,1,0,0,0.05,0.05,0,0.05,Matches
Mustapha Bundu\9d50bfd3,sl SLE,FWMF,AGF,24,1997,22,16,1502,16.7,3,2,3,0,0,1,0,0.18,0.12,0.3,0.18,0.3,Matches
Nicolas Bürgy\a4851d9e,ch SUI,DF,Viborg,25,1995,14,14,1260,14,2,0,2,0,0,2,0,0.14,0,0.14,0.14,0.14,Matches
Alexander Busch\de664c71,dk DEN,DF,Silkeborg,18,2003,2,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tobias Børkeeiet\2d54d501,no NOR,DFMF,Brøndby,22,1999,7,4,415,4.6,1,0,1,0,0,2,0,0.22,0,0.22,0.22,0.22,Matches
Frederik Børsting\fd957a77,dk DEN,MFDF,Aalborg,26,1995,17,9,830,9.2,0,4,0,0,0,3,0,0,0.43,0.43,0,0.43,Matches
Jens Cajuste\928a4a61,se SWE,MF,Midtjylland,21,1999,5,2,243,2.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
André Calisir\b33fa7ce,am ARM,DF,Silkeborg,31,1990,17,17,1371,15.2,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Christian Cappis\25ef5b47,us USA,MF,Brøndby,21,1999,27,10,1058,11.8,4,0,4,0,0,2,0,0.34,0,0.34,0.34,0.34,Matches
Patrik Carlgren\168c50c5,se SWE,GK,Randers,29,1992,32,32,2880,32,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Frederik Carstensen\d3f4537d,dk DEN,FW,Silkeborg,19,2002,4,0,30,0.3,1,0,1,0,0,0,0,3,0,3,3,3,Matches
Rasmus Carstensen\64d7f629,dk DEN,DF,Silkeborg,20,2000,31,30,2715,30.2,1,5,1,0,0,3,0,0.03,0.17,0.2,0.03,0.2,Matches
Edward Chilufya\b7b27de0,zm ZAM,FWMF,Midtjylland,21,1999,13,8,678,7.5,3,3,3,0,0,0,0,0.4,0.4,0.8,0.4,0.8,Matches
Frederik Christensen\a112ab29,dk DEN,FW,Viborg,26,1995,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
