Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Alexander Berntsson\8b08c8d3,se SWE,DF,Halmstad,24,1996,2.5,0,6,2,33.3,2.44,0.81,0,0,,0,0,Matches
Johan Bertilsson\52c3464a,se SWE,FWMF,Degerfors,32,1988,20.7,8,43,20,46.5,2.07,0.96,0.12,0.25,,3,3,Matches
Nahir Besara\2fadcd15,se SWE,MFFW,Örebro,29,1991,16.6,4,39,10,25.6,2.35,0.6,0.08,0.3,,1,1,Matches
Egzon Binaku\63a304f3,al ALB,DF,Norrköping,25,1995,0,0,0,0,,0,0,,,,0,0,Matches
Jon Birkfeldt\c0ded652,se SWE,DF,Varberg,24,1996,9.7,0,6,0,0,0.62,0,0,,,0,0,Matches
Veljko Birman?evi?\636247ca,rs SRB,MFFW,Malmö,22,1998,21.8,9,91,30,33,4.18,1.38,0.1,0.3,,0,0,Matches
Aron Bjarnason\a6e092ea,is ISL,FW,Sirius,25,1995,0.2,0,2,0,0,9,0,0,,,0,0,Matches
Jóhannes Bjarnason\481ac871,is ISL,MF,Norrköping,15,2005,0.1,0,0,0,,0,0,,,,0,0,Matches
Mattias Bjärsmyr\15927d77,se SWE,DF,Göteborg,35,1986,29.1,1,10,1,10,0.34,0.03,0.1,1,,0,0,Matches
Carl Björk\3b2bdc7e,se SWE,FWMF,Norrköping,21,2000,19.3,7,37,15,40.5,1.92,0.78,0.19,0.47,,0,0,Matches
Eric Björkander\141935d3,se SWE,DF,Mjällby,24,1996,11,1,13,8,61.5,1.18,0.73,0.08,0.13,,0,0,Matches
Tim Björkström\d95042fd,se SWE,DF,Sirius,30,1991,21,0,2,1,50,0.1,0.05,0,0,,0,0,Matches
Markus Björkvist\848b190c,se SWE,MF,Malmö,17,2003,0.2,0,0,0,,0,0,,,,0,0,Matches
Erik Björndahl\87d38e82,se SWE,FW,Örebro,30,1990,3.9,0,8,5,62.5,2.03,1.27,0,0,,0,0,Matches
Daniel Björnquist\903aa3e3,se SWE,DFMF,Örebro,32,1989,9.7,0,1,1,100,0.1,0.1,0,0,,0,0,Matches
Axel Björnström\8db38187,se SWE,MFDF,Sirius,25,1995,9,0,18,6,33.3,2,0.67,0,0,,0,0,Matches
Davor Blaževi?\afbb68eb,se SWE,GK,Hammarby,27,1993,1,0,0,0,,0,0,,,,0,0,Matches
Andreas Blomqvist\ad454818,se SWE,MFFW,Mjällby,28,1992,12,0,11,3,27.3,0.92,0.25,0,0,,0,0,Matches
Thomas Boakye\241bcd55,gh GHA,MFDF,Halmstad,27,1993,15.1,0,19,4,21.1,1.26,0.26,0,0,,0,0,Matches
Emmanuel Boateng\efad6707,gh GHA,MF,Elfsborg,23,1997,1.6,0,1,0,0,0.61,0,0,,,0,0,Matches
Darijan Bojani?\aa09d373,se SWE,MF,Hammarby,26,1994,21.8,1,37,9,24.3,1.7,0.41,0.03,0.11,,0,1,Matches
André Boman\5f58ba26,se SWE,MFFW,Varberg,19,2001,2.8,0,7,0,0,2.47,0,0,,,0,0,Matches
Mikael Boman\975410dc,se SWE,FW,Halmstad,32,1988,12.2,2,29,10,34.5,2.38,0.82,0.07,0.2,,0,0,Matches
Johan Brattberg\3906ff9b,se SWE,GK,Häcken,24,1996,1,0,0,0,,0,0,,,,0,0,Matches
Martin Broberg\ebf906a6,se SWE,FW,Örebro,30,1990,2.6,1,9,2,22.2,3.52,0.78,0.11,0.5,,0,0,Matches
Samuel Brolin\82fdcbec,se SWE,GK,Mjällby,20,2000,10,0,0,0,,0,0,,,,0,0,Matches
Franz Brorsson\08d37c53,se SWE,DF,Malmö,25,1996,18.1,0,10,1,10,0.55,0.06,0,0,,0,0,Matches
Ekin Bulut\1907a740,se SWE,FW,Sirius,24,1996,0.5,1,3,1,33.3,5.51,1.84,0.33,1,,0,0,Matches
Adam Carlén\5d2dd3fd,se SWE,MF,Degerfors,20,2000,27.5,1,26,3,11.5,0.95,0.11,0.04,0.33,,0,0,Matches
Ludvig Carlius\7c605365,se SWE,MF,Mjällby,19,2001,0.1,0,2,0,0,13.85,0,0,,,0,0,Matches
Henrik Castegren\ba20d6d1,se SWE,DF,Norrköping,24,1996,22.3,1,14,2,14.3,0.63,0.09,0.07,0.5,,0,0,Matches
Emanuel Chabo\454ad0bd,se SWE,FW,Norrköping,18,2002,0.2,0,1,0,0,4.29,0,0,,,0,0,Matches
Edward Chilufya\b7b27de0,zm ZAM,FW,Djurgården,21,1999,25.7,8,67,24,35.8,2.61,0.93,0.12,0.33,,0,0,Matches
Anders Christiansen\770ebf00,dk DEN,MF,Malmö,30,1990,16.5,6,43,14,32.6,2.61,0.85,0.09,0.29,,2,2,Matches
Antonio ?olak\bfde3de5,hr CRO,FW,Malmö,27,1993,23.6,14,118,51,43.2,5,2.16,0.1,0.24,,2,3,Matches
Charlie Colkett\ecf151ac,eng ENG,MF,Östersund,24,1996,10.4,0,7,2,28.6,0.67,0.19,0,0,,0,0,Matches
Dennis Collander\9b6a4927,se SWE,MFFW,Örebro,18,2002,15.8,2,18,6,33.3,1.14,0.38,0.11,0.33,,0,0,Matches
Joseph Colley\62e66c88,se SWE,DF,Sirius,21,1999,19.9,0,2,0,0,0.1,0,0,,,0,0,Matches
Jack Cooper Love\0b6360b0,se SWE,FW,Elfsborg,19,2001,0.4,0,1,0,0,2.57,0,0,,,0,0,Matches
Leo Cornic\b3f8e966,no NOR,DF,Djurgården,20,2001,2.3,0,2,0,0,0.87,0,0,,,0,0,Matches
Pontus Dahlberg\2475b06e,se SWE,GK,Häcken,22,1999,8,0,0,0,,0,0,,,,0,0,Matches
