Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Andreas Blomqvist\ad454818,se SWE,MFFW,Mjällby,28,1992,26,10,1080,12,0,1,0,0,0,1,0,0,0.08,0.08,0,0.08,Matches
Thomas Boakye\241bcd55,gh GHA,MFDF,Halmstad,27,1993,22,14,1362,15.1,0,2,0,0,0,2,1,0,0.13,0.13,0,0.13,Matches
Emmanuel Boateng\efad6707,gh GHA,MF,Elfsborg,23,1997,4,2,148,1.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Darijan Bojani?\aa09d373,se SWE,MF,Hammarby,26,1994,29,23,1959,21.8,1,3,1,0,1,5,0,0.05,0.14,0.18,0.05,0.18,Matches
André Boman\5f58ba26,se SWE,MFFW,Varberg,19,2001,7,3,255,2.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mikael Boman\975410dc,se SWE,FW,Halmstad,32,1988,24,12,1096,12.2,2,1,2,0,0,0,0,0.16,0.08,0.25,0.16,0.25,Matches
Johan Brattberg\3906ff9b,se SWE,GK,Häcken,24,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Martin Broberg\ebf906a6,se SWE,FW,Örebro,30,1990,10,2,230,2.6,1,1,1,0,0,1,0,0.39,0.39,0.78,0.39,0.78,Matches
Samuel Brolin\82fdcbec,se SWE,GK,Mjällby,20,2000,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Franz Brorsson\08d37c53,se SWE,DF,Malmö,25,1996,24,18,1629,18.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ekin Bulut\1907a740,se SWE,FW,Sirius,24,1996,5,0,49,0.5,1,0,1,0,0,0,0,1.84,0,1.84,1.84,1.84,Matches
Adam Carlén\5d2dd3fd,se SWE,MF,Degerfors,20,2000,28,28,2476,27.5,1,2,1,0,0,6,1,0.04,0.07,0.11,0.04,0.11,Matches
Ludvig Carlius\7c605365,se SWE,MF,Mjällby,19,2001,1,0,13,0.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Henrik Castegren\ba20d6d1,se SWE,DF,Norrköping,24,1996,27,22,2005,22.3,1,2,1,0,0,6,0,0.04,0.09,0.13,0.04,0.13,Matches
Emanuel Chabo\454ad0bd,se SWE,FW,Norrköping,18,2002,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Edward Chilufya\b7b27de0,zm ZAM,FW,Djurgården,21,1999,29,29,2314,25.7,8,3,8,0,0,1,0,0.31,0.12,0.43,0.31,0.43,Matches
Anders Christiansen\770ebf00,dk DEN,MF,Malmö,30,1990,22,18,1481,16.5,6,9,4,2,2,4,0,0.36,0.55,0.91,0.24,0.79,Matches
Antonio ?olak\bfde3de5,hr CRO,FW,Malmö,27,1993,26,24,2123,23.6,14,4,12,2,3,3,0,0.59,0.17,0.76,0.51,0.68,Matches
Charlie Colkett\ecf151ac,eng ENG,MF,Östersund,24,1996,15,10,934,10.4,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Dennis Collander\9b6a4927,se SWE,MFFW,Örebro,18,2002,21,18,1422,15.8,2,0,2,0,0,2,0,0.13,0,0.13,0.13,0.13,Matches
Joseph Colley\62e66c88,se SWE,DF,Sirius,21,1999,23,19,1790,19.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Jack Cooper Love\0b6360b0,se SWE,FW,Elfsborg,19,2001,6,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Leo Cornic\b3f8e966,no NOR,DF,Djurgården,20,2001,7,1,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Pontus Dahlberg\2475b06e,se SWE,GK,Häcken,22,1999,8,8,720,8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Johan Dahlin\a04e2dd2,se SWE,GK,Malmö,34,1986,19,19,1665,18.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Isak Dahlqvist\19965b27,se SWE,FW,Göteborg,19,2001,3,0,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Villiam Dahlström\9f95d007,se SWE,FW,Degerfors,23,1997,21,4,593,6.6,2,0,2,0,0,1,0,0.3,0,0.3,0.3,0.3,Matches
Ismael Diawara\a9107589,ml MLI,GK,Degerfors,26,1994,13,13,1170,13,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Ismael Diawara\a9107589,ml MLI,GK,Malmö,26,1994,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
