Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Keaton Isaksson\fed33753,fi FIN,MF,HIFK,26,1994,20.3,1,0,0,,,,,,,,,0,Matches
Jair\7707d109,br BRA,MF,HJK,26,1994,17.8,4,0,0,,,,,,,,,0,Matches
Teemu Jäntti\8ecc3649,fi FIN,MF,Ilves,20,2000,15.6,1,0,0,,,,,,,,,0,Matches
Lassi Järvenpää\b7b2f30a,fi FIN,DF,Inter Turku,24,1996,19.9,7,0,0,,,,,,,,,0,Matches
Iiro Järvinen\5ac5330b,fi FIN,MF,KuPS,24,1996,7.7,0,0,0,,,,,,,,,0,Matches
Jake Jervis\7ebbee55,eng ENG,FWMF,SJK,29,1991,20.2,3,0,0,,,,,,,,,0,Matches
Niklas Jokelainen\f9561e4e,fi FIN,FW,AC Oulu,,,11.4,2,0,0,,,,,,,,,0,Matches
Oiva Jukkola\8e0b3812,,MF,Ilves,,,3.5,0,0,0,,,,,,,,,0,Matches
Tommi Jyry\bf09b219,fi FIN,MF,KuPS,21,1999,1.5,0,0,0,,,,,,,,,0,Matches
Taiki Kagayama\c0212023,jp JPN,FW,Inter Turku,24,1996,15.7,4,0,0,,,,,,,,,0,Matches
Severi Kähkönen\72ba09fe,fi FIN,MF,AC Oulu,20,2000,5.3,0,0,0,,,,,,,,,0,Matches
Melvin Kahnberg\d9a2321b,fi FIN,DF,IFK Mariehamn,17,2003,0.7,0,0,0,,,,,,,,,0,Matches
Jere Kallinen\3243f59f,fi FIN,MF,AC Oulu,19,2002,19.4,3,0,0,,,,,,,,,0,Matches
Benjamin Källman\fd61c74d,fi FIN,FW,Inter Turku,22,1998,24.5,1,0,0,,,,,,,,,0,Matches
Kei Kamara\6e3f3809,sl SLE,FW,HIFK,36,1984,13.7,1,0,0,,,,,,,,,0,Matches
Macoumba Kandji\01edbfa1,gm GAM,FWMF,Lahti,35,1985,21.5,5,0,0,,,,,,,,,0,Matches
Pauli Katajamäki\861ac6a8,fi FIN,MF,FC Honka,19,2002,0.8,1,0,0,,,,,,,,,0,Matches
Kalle Katz\fa4d9520,fi FIN,DF,Ilves,21,2000,7.7,3,0,0,,,,,,,,,0,Matches
Lucas Kaufmann\38d6b05b,br BRA,FW,FC Honka,29,1991,19.3,4,0,0,,,,,,,,,0,Matches
Oskari Kekkonen\8f383fe8,ph PHI,MF,KTP,21,1999,0.7,0,0,0,,,,,,,,,0,Matches
Hugo Keto\21d45036,fi FIN,GK,HJK,22,1998,21,3,0,0,,,,,,,,,0,Matches
Rick Ketting\aa90a746,nl NED,DF,Inter Turku,25,1996,21.1,2,0,0,,,,,,,,,0,Matches
Matti Klinga\ba58e181,fi FIN,MF,Lahti,26,1994,17.3,4,0,0,,,,,,,,,0,Matches
Kimi Kolsi\a74367c4,fi FIN,MF,KTP,18,2002,0.2,0,0,0,,,,,,,,,0,Matches
Miika Koskela\9eb4e4ee,fi FIN,MF,AC Oulu,17,2003,11.1,1,0,0,,,,,,,,,0,Matches
Ville Koski\57c151e4,fi FIN,MF,FC Honka,19,2002,16,4,0,0,,,,,,,,,0,Matches
Otso Koskinen\602aaa23,fi FIN,MF,FC Honka,18,2003,14.3,3,0,0,,,,,,,,,0,Matches
Daniel Koskipalo\64d9c278,fi FIN,DF,Lahti,17,2003,0.6,1,0,0,,,,,,,,,0,Matches
Kevin Kouassivi-Benissan\e71948be,fi FIN,DF,HJK,22,1999,2.6,0,0,0,,,,,,,,,0,Matches
Johannes Kreidl\bfcf986d,at AUT,GK,KuPS,24,1996,22,1,0,0,,,,,,,,,0,Matches
Aatu Kujanpää\97cf2d51,fi FIN,MF,HIFK,22,1998,6.2,1,0,0,,,,,,,,,0,Matches
Leo Kyllönen\a921ad8e,fi FIN,MF,Ilves,17,2004,3.4,0,0,0,,,,,,,,,0,Matches
Jami Kyöstilä\cf714230,fi FIN,DF,Haka,24,1996,12.5,1,0,0,,,,,,,,,0,Matches
Johannes Laaksonen\274b1767,fi FIN,MF,KTP,30,1990,11.2,2,0,0,,,,,,,,,0,Matches
Oiva Laaksonen\0d5f9fab,fi FIN,FW,Haka,17,2003,1.8,0,0,0,,,,,,,,,0,Matches
Timi Lahti\48c07357,fi FIN,DF,Lahti,30,1990,18.1,4,0,0,,,,,,,,,0,Matches
Janne-Pekka Laine\ce67c769,fi FIN,MF,Haka,20,2001,15.9,3,0,0,,,,,,,,,0,Matches
Nooa Laine\51492fd1,fi FIN,MF,SJK,18,2002,10.2,2,0,0,,,,,,,,,0,Matches
Pyry Lampinen\91cc1d1d,fi FIN,FW,Lahti,18,2002,4.7,1,0,0,,,,,,,,,0,Matches
Kevin Larsson\7a7f6783,fi FIN,FW,AC Oulu,19,2001,2.9,1,0,0,,,,,,,,,0,Matches
Emmanuel Ledesma\fb79af97,ar ARG,FWMF,SJK,32,1988,5.7,1,0,0,,,,,,,,,1,Matches
Niklas Leinonen\24c1504e,fi FIN,MF,KTP,17,2003,10,1,0,0,,,,,,,,,0,Matches
Rasmus Leislahti\652afb4e,fi FIN,GK,Ilves,20,2000,24,0,0,0,,,,,,,,,0,Matches
Joonas Lepistö\6ac2f72c,fi FIN,MF,SJK,22,1998,7.8,1,0,0,,,,,,,,,0,Matches
Anton Lepola\715dba94,fi FIN,GK,KTP,24,1996,26,0,0,0,,,,,,,,,0,Matches
Jonas Levänen\7ca95814,fi FIN,MF,FC Honka,27,1994,11.3,5,0,0,,,,,,,,,0,Matches
Otso Liimatta\1d932cbe,fi FIN,MF,AC Oulu,16,2004,3.1,0,0,0,,,,,,,,,0,Matches
Matias Lindfors\58a6914d,fi FIN,FW,KTP,23,1997,10.6,1,0,0,,,,,,,,,0,Matches
Lucas Lingman\f99360b9,fi FIN,MF,HJK,23,1998,18.9,1,0,0,,,,,,,,,0,Matches
Patrick Loa Loa\7e0eccef,cm CMR,FW,Ilves,21,1999,16,7,0,0,,,,,,,,,0,Matches
Youri Loen\39ece434,nl NED,MF,Haka,30,1991,4.5,3,0,0,,,,,,,,,0,Matches
Joona Lohela\d1ca904e,fi FIN,DF,AC Oulu,16,2004,0,0,0,0,,,,,,,,,0,Matches
