Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Vieux Sané\b77ca4a0,sn SEN,DF,Brann,31,1989,1.6,0,0,0,,0,0,,,,0,0,Matches
Alfred Scriven\e1c77b42,no NOR,FW,Mjøndalen,23,1998,0.3,0,0,0,,0,0,,,,0,0,Matches
Sebastian Sebulonsen\d62063b7,no NOR,DF,Mjøndalen,21,2000,2.8,0,1,0,0,0.35,0,0,,,0,0,Matches
Sebastian Sebulonsen\d62063b7,no NOR,DF,Viking,21,2000,19.9,3,21,5,23.8,1.06,0.25,0.14,0.6,,0,0,Matches
William Sell\c9499170,no NOR,DF,Mjøndalen,22,1998,6.9,0,4,0,0,0.58,0,0,,,0,0,Matches
Egil Selvik\05d89c1c,no NOR,GK,Haugesund,23,1997,29,0,0,0,,0,0,,,,0,0,Matches
Besim Šerbe?i?\5384e3bf,ba BIH,DF,Rosenborg,22,1998,7,1,4,1,25,0.57,0.14,0.25,1,,0,0,Matches
Japhet Sery\03e7a498,dk DEN,DF,Brann,20,2000,6.7,1,3,2,66.7,0.45,0.3,0.33,0.5,,0,0,Matches
Herolind Shala\efe260a3,xk KVX,MF,Stabæk,28,1992,7.4,0,9,3,33.3,1.22,0.41,0,0,,0,0,Matches
Björn Sigurðarson\bb79b58f,is ISL,FW,Molde,29,1991,0.2,0,0,0,,0,0,,,,0,0,Matches
Oskar Siira Sivertsen\d50829e9,no NOR,FW,Kristiansund,16,2004,0.6,1,3,1,33.3,5.4,1.8,0.33,1,,0,0,Matches
Moonga Simba\651ebf75,se SWE,FW,Brann,20,2000,9.2,1,22,5,22.7,2.39,0.54,0.05,0.2,,0,0,Matches
Brinder Singh\fef999e9,no NOR,FW,Mjøndalen,18,2002,0.2,0,0,0,,0,0,,,,0,0,Matches
Harmeet Singh\aae023c4,no NOR,MF,Sandefjord,30,1990,19.1,0,16,1,6.3,0.84,0.05,0,0,,0,0,Matches
Sheriff Sinyan\47c1458c,gm GAM,DF,Molde,24,1996,22.3,3,16,4,25,0.72,0.18,0.19,0.75,,0,0,Matches
Erlend Sivertsen\4de8f23f,no NOR,DF,Kristiansund,30,1991,6.4,0,5,2,40,0.78,0.31,0,0,,0,0,Matches
Fredrik Sjølstad\ce22ca27,no NOR,MF,Molde,26,1994,1.4,0,1,1,100,0.71,0.71,0,0,,0,0,Matches
Kasper Skaanes\b40f8e4a,no NOR,MFFW,Brann,25,1995,13.7,1,19,5,26.3,1.39,0.37,0.05,0.2,,0,0,Matches
Syver Skaar Eriksen\8ddfcf44,no NOR,DF,Mjøndalen,19,2001,11.3,2,5,2,40,0.44,0.18,0.4,1,,0,0,Matches
Brage Skaret\5a349949,no NOR,DF,Vålerenga,18,2002,5.6,0,2,0,0,0.36,0,0,,,0,0,Matches
Olaus Skarsem\2c8c6968,no NOR,MFFW,Rosenborg,22,1998,7.7,1,11,4,36.4,1.43,0.52,0.09,0.25,,0,0,Matches
Olaus Skarsem\2c8c6968,no NOR,MF,Kristiansund,22,1998,8.9,0,12,4,33.3,1.35,0.45,0,0,,0,0,Matches
Knut-André Skjærstein\4b06552b,no NOR,GK,Lillestrøm,25,1995,4,0,0,0,,0,0,,,,0,0,Matches
Henrik Skogvold\8353e96a,no NOR,MF,Lillestrøm,16,2004,0.2,0,1,1,100,4.09,4.09,0,0,,0,0,Matches
Sammy Skytte\e37b182d,dk DEN,MF,Stabæk,23,1997,12.1,2,11,6,54.5,0.91,0.5,0.09,0.17,,1,2,Matches
Ian Smeulers\732e0da3,nl NED,DF,Sandefjord,21,2000,10.8,0,2,0,0,0.19,0,0,,,0,0,Matches
Eskil Smidesang Edh\e3372668,no NOR,MF,Lillestrøm,18,2002,14.9,1,6,2,33.3,0.4,0.13,0.17,0.5,,0,0,Matches
Joshua Smits\c91698ae,nl NED,GK,Bodø/Glimt,28,1992,1,0,0,0,,0,0,,,,0,0,Matches
Markus Solbakken\fe0f9f6a,no NOR,MF,Stabæk,20,2000,19.5,1,9,2,22.2,0.46,0.1,0.11,0.5,,0,0,Matches
Ola Solbakken\78f13530,no NOR,FW,Bodø/Glimt,22,1998,24.7,6,40,13,32.5,1.62,0.53,0.13,0.38,,1,1,Matches
Mats Solheim\6fcefbad,no NOR,DF,Stabæk,33,1987,7.5,0,4,3,75,0.54,0.4,0,0,,0,0,Matches
Joachim Soltvedt\e1453b38,no NOR,MFFW,Sarpsborg 08,25,1995,6.8,0,8,2,25,1.17,0.29,0,0,,0,0,Matches
Albin Sporrong\eac3ef06,se SWE,MF,Mjøndalen,21,1999,6.8,1,8,3,37.5,1.17,0.44,0.13,0.33,,0,0,Matches
Erik Stavas Skistad\cb538f64,no NOR,MF,Mjøndalen,19,2001,6.7,0,4,0,0,0.6,0,0,,,0,0,Matches
Halldor Stenevik\d1593f05,no NOR,MFFW,Strømsgodset,20,2000,26.8,2,25,8,32,0.93,0.3,0.08,0.25,,0,0,Matches
Herman Stengel\00608940,no NOR,MF,Strømsgodset,25,1995,28.4,6,28,14,50,0.98,0.49,0.11,0.21,,3,3,Matches
Gianni Stensness\b9549894,au AUS,DF,Viking,21,1999,13.1,1,16,6,37.5,1.22,0.46,0.06,0.17,,0,0,Matches
Benjamin Stokke\6bce4a7f,no NOR,FW,Mjøndalen,30,1990,18.7,4,25,8,32,1.33,0.43,0.12,0.38,,1,1,Matches
Frank Stople\33d86563,no NOR,GK,Haugesund,18,2002,1,0,0,0,,0,0,,,,0,0,Matches
Jacob Storevik\84088e33,no NOR,GK,Sandefjord,24,1996,30,0,0,0,,0,0,,,,0,0,Matches
Snorre Strand Nilsen\c38489c4,no NOR,DF,Kristiansund,24,1997,26.5,6,15,10,66.7,0.57,0.38,0.4,0.6,,0,0,Matches
Petter Strand\c26e60c2,no NOR,MFDF,Brann,26,1994,25.6,1,60,15,25,2.34,0.59,0.02,0.07,,0,1,Matches
Alexander Stølås\3a8a4db8,no NOR,DF,Haugesund,31,1989,12.8,2,6,2,33.3,0.47,0.16,0.33,1,,0,0,Matches
Sander Svendsen\da60fd2a,no NOR,FWMF,Odd,23,1997,24.2,8,62,19,30.6,2.56,0.79,0.13,0.42,,0,0,Matches
Tobias Svendsen\c2a35241,no NOR,FWMF,Lillestrøm,21,1999,8.5,0,13,5,38.5,1.53,0.59,0,0,,0,0,Matches
Morten Sætra\4399d444,no NOR,GK,Strømsgodset,23,1997,3.7,0,1,0,0,0.27,0,0,,,0,0,Matches
Alexander Søderlund\e61d33f1,no NOR,FW,Haugesund,33,1987,6.9,4,15,9,60,2.16,1.3,0.27,0.44,,0,0,Matches
André Sødlund\a0bdd879,no NOR,MFFW,Sandefjord,24,1996,5.5,0,8,3,37.5,1.45,0.54,0,0,,0,1,Matches
Sondre Sørli\c2dadbf3,no NOR,FW,Bodø/Glimt,25,1995,9.2,3,20,8,40,2.18,0.87,0.15,0.38,,0,0,Matches
Bent Sørmo\e19b566b,no NOR,DF,Kristiansund,24,1996,4.3,0,1,1,100,0.23,0.23,0,0,,0,0,Matches
Harald Tangen\550f5516,no NOR,MF,Viking,20,2001,22.1,5,29,13,44.8,1.31,0.59,0.17,0.38,,0,0,Matches
Robert Taylor\1fc0973f,fi FIN,FWMF,Brann,26,1994,24.9,6,80,35,43.8,3.22,1.41,0.06,0.14,,1,3,Matches
Duplexe Tchamba\75926036,cm CMR,DF,Strømsgodset,22,1998,2.1,1,3,1,33.3,1.43,0.48,0.33,1,,0,0,Matches
Alexander Tettey\75566759,no NOR,MFDF,Rosenborg,34,1986,5.2,0,7,0,0,1.34,0,0,,,0,0,Matches
