Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Joe Bell\7825847e,nz NZL,MF,Viking,21,1999,27,27,2387,26.5,1,8,1,0,0,5,0,0.04,0.3,0.34,0.04,0.34,Matches
Patrick Berg\e4114f5d,no NOR,MF,Bodø/Glimt,23,1997,26,26,2274,25.3,3,3,2,1,2,5,0,0.12,0.12,0.24,0.08,0.2,Matches
Martin Bergum\84b68123,no NOR,MF,Lillestrøm,18,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Veton Berisha\9c145144,no NOR,FW,Viking,26,1994,28,27,2334,25.9,22,5,16,6,6,2,0,0.85,0.19,1.04,0.62,0.81,Matches
Daniel Berntsen\dbafa9b1,no NOR,MF,Tromsø,27,1993,23,11,1006,11.2,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Henrik Bjørdal\7e2c5d75,no NOR,MFDF,Vålerenga,23,1997,30,30,2654,29.5,4,4,2,2,2,3,0,0.14,0.14,0.27,0.07,0.2,Matches
Martin Bjørnbak\eb49bd3f,no NOR,DF,Molde,28,1992,27,26,2319,25.8,3,0,3,0,0,3,1,0.12,0,0.12,0.12,0.12,Matches
Sondre Bjørshol\d9e76115,no NOR,DF,Viking,26,1994,13,6,515,5.7,1,0,1,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches
Sulayman Bojang\8f87b70a,gm GAM,MF,Sarpsborg 08,23,1997,10,4,495,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sulayman Bojang\8f87b70a,gm GAM,DF,Haugesund,23,1997,2,2,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mathis Bolly\e9895d1c,ci CIV,FWMF,Molde,30,1990,8,0,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mathis Bolly\e9895d1c,ci CIV,MFFW,Stabæk,30,1990,15,4,536,6,3,0,3,0,0,1,0,0.5,0,0.5,0.5,0.5,Matches
Victor Boniface\b146275b,ng NGA,FW,Bodø/Glimt,20,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Christian Borchgrevink\4505c242,no NOR,DF,Vålerenga,21,1999,24,23,2023,22.5,3,3,3,0,0,5,0,0.13,0.13,0.27,0.13,0.27,Matches
Erik Botheim\3d13d9e4,no NOR,FW,Bodø/Glimt,21,2000,30,30,2630,29.2,15,4,15,0,0,2,0,0.51,0.14,0.65,0.51,0.65,Matches
Jonatan Braut Brunes\36adbbe0,no NOR,FW,Lillestrøm,20,2000,18,1,223,2.5,1,1,1,0,0,1,0,0.4,0.4,0.81,0.4,0.81,Matches
Jonas Brauti\936ba0f5,no NOR,GK,Stabæk,21,1999,2,1,129,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Emil Breivik\611f4f60,no NOR,MFFW,Molde,20,2000,20,9,1111,12.3,1,5,1,0,0,2,0,0.08,0.41,0.49,0.08,0.49,Matches
David Brekalo\fd594b15,si SVN,DF,Viking,22,1998,11,8,783,8.7,2,0,2,0,0,2,1,0.23,0,0.23,0.23,0.23,Matches
Bendik Brevik\24b9e1d0,no NOR,DF,Kristiansund,17,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Josef Brian Baccay\ea005201,no NOR,FW,Lillestrøm,19,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tonny Brochmann\9d75ac94,dk DEN,MF,Mjøndalen,31,1989,9,4,424,4.7,1,1,1,0,1,1,0,0.21,0.21,0.42,0.21,0.42,Matches
Sondre Brunstad Fet\c1d9bf1f,no NOR,MF,Bodø/Glimt,24,1997,26,24,1838,20.4,3,5,3,0,0,2,0,0.15,0.24,0.39,0.15,0.39,Matches
Fredrik Brustad\f1d0e50d,no NOR,FW,Mjøndalen,31,1989,27,12,1300,14.4,2,2,2,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches
Ola Brynhildsen\ffe5ecdb,no NOR,MF,Molde,21,1999,30,29,2394,26.6,5,8,5,0,0,3,0,0.19,0.3,0.49,0.19,0.49,Matches
Bendik Bye\fed73448,no NOR,FWMF,Kristiansund,30,1990,26,20,1869,20.8,7,0,5,2,3,0,0,0.34,0,0.34,0.24,0.24,Matches
Magnus Bækken\0c226fd1,no NOR,FW,Mjøndalen,19,2001,4,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Anders Bærtelsen\d234b7e7,dk DEN,DF,Haugesund,20,2000,10,10,900,10,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,Matches
Dario ?ana?ija\da933459,hr CRO,MF,Sarpsborg 08,26,1994,12,10,850,9.4,1,1,1,0,0,1,0,0.11,0.11,0.21,0.11,0.21,Matches
Emil Ceide\98a84572,no NOR,FWMF,Rosenborg,19,2001,24,19,1525,16.9,5,3,5,0,0,2,0,0.3,0.18,0.47,0.3,0.47,Matches
Mikkel Ceide\1318200b,no NOR,DF,Rosenborg,19,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marcos Celorrio\f7e488f9,es ESP,FW,Sandefjord,23,1997,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tobias Christensen\d87d58e7,no NOR,MFFW,Vålerenga,20,2000,30,23,2132,23.7,3,1,3,0,0,3,0,0.13,0.04,0.17,0.13,0.17,Matches
