Player,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,Matches
Birk Risa\c70b221c,Birk Risa\c70b221c,no NOR,DF,22.0,17.0,13.0,1067.0,11.9,2.0,1.0,2.0,0.0,0.0,5.0,1.0,0.17,0.08,0.25,0.17,0.25,Matches
Sivert Mannsverk\773e16b9,Sivert Mannsverk\773e16b9,no NOR,MF,18.0,14.0,11.0,1049.0,11.7,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Stian Rode Gregersen\5f011e05,Stian Rode Gregersen\5f011e05,no NOR,DF,25.0,14.0,11.0,986.0,11.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.09,0.09,0.18,0.09,0.18,Matches
Emil Breivik\611f4f60,Emil Breivik\611f4f60,no NOR,MFFW,20.0,20.0,9.0,1111.0,12.3,1.0,5.0,1.0,0.0,0.0,2.0,0.0,0.08,0.41,0.49,0.08,0.49,Matches
Martin Linnes\0e100630,Martin Linnes\0e100630,no NOR,DF,29.0,11.0,9.0,815.0,9.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Martin Ellingsen\1d42db4a,Martin Ellingsen\1d42db4a,no NOR,MF,25.0,7.0,6.0,495.0,5.5,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.36,0.0,0.36,0.0,0.0,Matches
Rafik Zekhnini\1b62a7df,Rafik Zekhnini\1b62a7df,no NOR,MF,23.0,12.0,5.0,533.0,5.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.34,0.0,0.34,Matches
Marcus Pedersen\596cc50e,Marcus Pedersen\596cc50e,no NOR,DF,20.0,7.0,5.0,478.0,5.3,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.38,0.38,0.0,0.38,Matches
Oliver Petersen\17c602ca,Oliver Petersen\17c602ca,no NOR,GK,19.0,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
David Fofana\e82900ef,David Fofana\e82900ef,ci CIV,FW,18.0,18.0,1.0,320.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
