Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Eirik Johansen\576ea36c,no NOR,GK,Brann,28,1992,5,5,450,5,8,1.6,22,15,68.2,0,2,3,1,20,1,1,0,0,0,Matches
Jacob Karlstrom\eb6fac77,no NOR,GK,Tromsø,24,1997,30,30,2700,30,44,1.47,120,79,65,8,11,11,8,26.7,3,2,1,0,33.3,Matches
Kristoffer Klaesson\3f70db80,no NOR,GK,Vålerenga,20,2000,14,14,1260,14,20,1.43,48,30,62.5,5,6,3,2,14.3,3,2,0,1,0,Matches
Anders Kristiansen\61dc42f4,no NOR,GK,Sarpsborg 08,30,1990,30,30,2689,29.9,44,1.47,118,75,63.6,11,6,13,7,23.3,1,1,0,0,0,Matches
Andreas Linde\4d6a842d,se SWE,GK,Molde,27,1993,25,25,2250,25,37,1.48,103,67,67,13,6,6,8,32,3,3,0,0,0,Matches
Idar Lysgård\9d40133e,no NOR,GK,Mjøndalen,26,1994,8,8,720,8,13,1.62,48,36,75,2,1,5,1,12.5,1,1,0,0,0,Matches
Sosha Makani\1bd90d9f,ir IRN,GK,Mjøndalen,34,1986,22,22,1980,22,39,1.77,101,65,64.4,2,9,11,3,13.6,4,3,1,0,25,Matches
Sean McDermott\fc5c05cb,ie IRL,GK,Kristiansund,27,1993,30,30,2663,29.6,45,1.52,134,94,68.7,14,4,12,9,30,6,3,2,1,40,Matches
Viljar Myhra\7e83921b,no NOR,GK,Strømsgodset,24,1996,27,27,2368,26.3,36,1.37,106,74,67.9,9,8,10,7,25.9,4,2,2,0,50,Matches
Simen Nilsen\65ee03f3,no NOR,GK,Sarpsborg 08,20,2000,1,0,11,0.1,0,0,1,1,100,0,0,0,0,,0,0,0,0,,Matches
Håkon Opdal\7ab0b730,no NOR,GK,Brann,38,1982,12,12,1080,12,27,2.25,55,29,52.7,2,2,8,1,8.3,1,1,0,0,0,Matches
Oliver Petersen\17c602ca,no NOR,GK,Molde,19,2001,5,5,450,5,3,0.6,19,16,84.2,5,0,0,2,40,0,0,0,0,,Matches
Sondre Rossbach\a32554bc,no NOR,GK,Odd,24,1996,17,17,1530,17,32,1.88,72,40,55.6,6,4,7,2,11.8,0,0,0,0,,Matches
Marcus Sandberg\308d850e,se SWE,GK,Stabæk,30,1990,29,29,2568,28.5,56,1.96,169,118,69.2,6,7,16,6,20.7,6,4,1,1,20,Matches
Egil Selvik\05d89c1c,no NOR,GK,Haugesund,23,1997,29,29,2610,29,44,1.52,131,91,67.9,8,8,13,9,31,4,2,2,0,50,Matches
Knut-André Skjærstein\4b06552b,no NOR,GK,Lillestrøm,25,1995,4,4,360,4,9,2.25,18,9,50,1,0,3,0,0,0,0,0,0,,Matches
Joshua Smits\c91698ae,nl NED,GK,Bodø/Glimt,28,1992,1,1,90,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,,Matches
Frank Stople\33d86563,no NOR,GK,Haugesund,18,2002,1,1,90,1,1,1,1,1,100,1,0,0,0,0,1,1,0,0,0,Matches
Jacob Storevik\84088e33,no NOR,GK,Sandefjord,24,1996,30,30,2700,30,52,1.73,138,90,63.8,10,6,14,7,23.3,4,2,2,0,50,Matches
Morten Sætra\4399d444,no NOR,GK,Strømsgodset,23,1997,4,3,332,3.7,7,1.9,19,12,63.2,0,1,2,1,33.3,0,0,0,0,,Matches
Leopold Wahlstedt\9b26a433,se SWE,GK,Odd,21,1999,13,13,1170,13,26,2,55,32,56.4,2,5,6,1,7.7,3,2,1,0,33.3,Matches
Arild Østbø\30263816,no NOR,GK,Viking,29,1991,14,13,1241,13.8,17,1.23,43,28,65.1,8,3,2,3,23.1,2,2,0,0,0,Matches
