Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Sondre Auklend\aa744585,no NOR,FW,Viking,17,2003,2.6,0,0,0,3,8,0,4,0,4,,,0,Matches
Fredrik Aursnes\f0677ed7,no NOR,MF,Molde,25,1995,14.5,1,0,0,12,7,3,54,14,28,,,0,Matches
Iven Austbø\f461ebf7,no NOR,GK,Viking,35,1985,10,1,0,0,0,2,0,0,0,1,,,0,Matches
Fitim Azemi\2cd030ea,no NOR,FW,Stabæk,28,1992,12.7,1,0,0,12,11,10,4,4,3,,,0,Matches
Mushaga Bakenga\c322feb0,no NOR,FW,Odd,28,1992,9.8,4,0,0,17,16,9,5,1,8,,,0,Matches
Daouda Bamba\543e1eb6,ci CIV,FW,Brann,25,1995,12.4,2,0,0,16,11,11,12,5,7,,,0,Matches
Frank Bamenye\6edfd46a,no NOR,FW,Mjøndalen,19,2001,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Kristoffer Barmen\0f89f7b3,no NOR,DFMF,Brann,27,1993,9.9,1,0,0,8,3,0,5,9,5,,,0,Matches
Joe Bell\7825847e,nz NZL,MF,Viking,21,1999,26.5,5,0,0,39,45,1,163,37,45,,,0,Matches
Patrick Berg\e4114f5d,no NOR,MF,Bodø/Glimt,23,1997,25.3,5,0,0,21,15,0,59,27,43,,,0,Matches
Martin Bergum\84b68123,no NOR,MF,Lillestrøm,18,2002,0.1,0,0,0,1,1,0,0,0,0,,,0,Matches
Veton Berisha\9c145144,no NOR,FW,Viking,26,1994,25.9,2,0,0,24,34,31,40,5,8,,,0,Matches
Daniel Berntsen\dbafa9b1,no NOR,MF,Tromsø,27,1993,11.2,2,0,0,9,25,0,61,5,10,,,0,Matches
Henrik Bjørdal\7e2c5d75,no NOR,MFDF,Vålerenga,23,1997,29.5,3,0,0,36,38,14,61,23,55,,,0,Matches
Martin Bjørnbak\eb49bd3f,no NOR,DF,Molde,28,1992,25.8,3,1,0,17,18,1,1,35,24,,,0,Matches
Sondre Bjørshol\d9e76115,no NOR,DF,Viking,26,1994,5.7,1,0,0,1,6,0,16,6,5,,,0,Matches
Sulayman Bojang\8f87b70a,gm GAM,MF,Sarpsborg 08,23,1997,5.5,0,0,0,10,7,1,23,3,10,,,0,Matches
Sulayman Bojang\8f87b70a,gm GAM,DF,Haugesund,23,1997,1.3,0,0,0,0,0,0,4,3,2,,,0,Matches
Mathis Bolly\e9895d1c,ci CIV,MFFW,Stabæk,30,1990,6,1,0,0,3,3,2,11,2,2,,,0,Matches
Mathis Bolly\e9895d1c,ci CIV,FWMF,Molde,30,1990,0.8,0,0,0,1,0,1,1,0,2,,,0,Matches
Victor Boniface\b146275b,ng NGA,FW,Bodø/Glimt,20,2000,0,0,0,0,1,0,1,0,0,0,,,0,Matches
